受理单位,分类,主题,受理时间,办结时间,办理状态
部门,"
投诉
",河北廊坊三河市燕郊交通中队咨询电话为空号,"
2020-02-02
","
2020-04-29
","已办结
"
部门,"
投诉
",河北廊坊大厂路径阳光城停车位收费是否合理？,"
2020-04-24
","
2020-04-29
","已办结
"
部门,"
投诉
",河北定州市东西里元社区健身广场夜晚无照明 形式主义,"
2020-04-23
","
2020-04-29
","已办结
"
部门,"
投诉
",唐山唐古路与钢厂道交叉口违停现场严重,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北廊坊固安剑桥郡小区经常性停电 盼解决,"
2020-04-21
","
2020-04-28
","已办结
"
部门,"
投诉
",河北邯郸丛台区汉城华都小区东区工地噪音扰民,"
2020-04-23
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山路北区钢城水岸违章建筑影响采光,"
2020-04-28
","
2020-04-28
","已办结
"
部门,"
投诉
",,"
2020-01-02
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定市茂业中心企业复工难 物业要求1人20平米,"
2020-03-23
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定市竞秀区建南社区卫生中心态度差,"
2020-03-26
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定竞秀区康惠街交警支队宿舍居民如何办健康证,"
2020-03-31
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定竞秀区对上海集中隔离的入境人员 是否还要集中隔离？,"
2020-04-10
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定乐凯南大街富昌园对面工地夜间施工噪音严重扰民,"
2020-04-16
","
2020-04-28
","已办结
"
部门,"
投诉
",河北定州迎泰新城A区门前路违停车辆多 出行不便,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",河北承德围场六合店村厕改后没抽粪设施 多数成摆设,"
2020-04-28
","
2020-04-28
","已办结
"
易县卫生健康局,"
投诉
",河北保定易县来自辽宁省大连市人员 有何规定？,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定涿州范阳路小公园广场舞噪音扰民 声音太大,"
2020-04-28
","
2020-04-28
","已办结
"
部门,"
投诉
",河北保定涿州吉祥胡同没有下水 望组织整修,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北沧州献县凤栖园小区地势低洼 排水受阻污水上溢,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",河北邢台县交警大队协警交通事故 迟迟不出责任认定书,"
2020-04-13
","
2020-04-28
","已办结
"
部门,"
投诉
",河北邢台新华北路喜士来酒店门前隔离栏应增出入口 方便坐车,"
2020-04-10
","
2020-04-28
","已办结
"
部门,"
投诉
",河北衡水大庆路榕花街红绿灯红灯时间长造成拥堵,"
2020-04-22
","
2020-04-28
","已办结
"
永年区住建局,"
投诉
",河北邯郸永年区勤政花园小区拖数年未交房,"
2020-04-27
","
2020-04-28
","已办结
"
沧州市运河区教育局,"
咨询
",河北沧州运河区世纪家园小学何时建成？,"
2020-04-22
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山市路北区裕华道学院路至大里路几年没修通,"
2020-02-18
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山路北容和景苑小区私搭乱建严重,"
2020-03-27
","
2020-04-28
","已办结
"
香河县市场监督管理局,"
投诉
",河北廊坊香河精工邦威家具不让验货不退款 市场局为何不受理？,"
2020-04-27
","
2020-04-28
","已办结
"
衡水市桃城区卫生健康局,"
咨询
",河北衡水桃城区居民要去北京入职 去哪里办健康证明？,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",河北廊坊安次区海棠园物业私自打水井 窃取水资源,"
2020-03-19
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄桃园丽景城何时交房,"
2020-04-24
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄赫石府延期几年不交房,"
2020-04-24
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄乐城贸易城依旧以无退款政策不退款,"
2020-04-24
","
2020-04-28
","已办结
"
三河市自然资源和规划局,"
投诉
",河北廊坊三河农村宅基地房本丢失 如何补办？,"
2020-04-27
","
2020-04-28
","已办结
"
部门,"
投诉
",唐山路北区海航叠山院三期南面巨型土堆无人管,"
2020-04-24
","
2020-04-28
","已办结
"
部门,"
投诉
",河北唐山煤医道与建设路交叉口路面大坑 影响出行,"
2020-04-24
","
2020-04-28
","已办结
"
衡水市卫生健康局,"
咨询
",河北衡水哈院拖欠临时工工资 何时发放？,"
2020-04-26
","
2020-04-28
","已办结
"
邢台市交通运输局,"
投诉
",河北邢台平乡县东位村出行路40年没修 泥泞不堪还要等多久？,"
2020-04-27
","
2020-04-28
","已办结
"
围场满族蒙古族自治县教育…,"
投诉
",,"
2020-04-23
","
2020-04-28
","已办结
"
河北省人才交流服务中心,"
投诉
",河北省人才可接受个人档案吗？电话打不通,"
2020-04-27
","
2020-04-28
","已办结
"
唐山市路北区住房和社区管…,"
投诉
",河北唐山红星楼小区私装地锁 私搭乱建,"
2020-04-23
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄乐城五证不全 商户要求退款,"
2020-04-26
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄市乐城国际贸易城虚假宣传 购房3年还没预售证,"
2020-04-27
","
2020-04-28
","已办结
"
石家庄市长安区教育局,"
咨询
",河北石家庄长安区博雅盛世二期无配套公立幼儿园 如何入园？,"
2020-04-27
","
2020-04-28
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄北部时光虚假宣传 无证售房,"
2020-04-27
","
2020-04-28
","已办结
"
河北省人才交流服务中心,"
投诉
",河北石家庄高校毕业生档案怎么查询？,"
2020-04-27
","
2020-04-28
","已办结
"
石家庄市长安区教育局,"
咨询
",河北石家庄长安区普惠幼儿园补贴仅收到5个月 咋回事？,"
2020-04-27
","
2020-04-28
","已办结
"
保定市人社局,"
投诉
",河北保定城乡建设集团公司扣押离职职员个人档案 不给办,"
2020-04-26
","
2020-04-28
","已办结
"
满城区执法局,"
投诉
",河北保定满城区南关沟南陵山段垃圾成堆 占沟盖房,"
2020-04-20
","
2020-04-28
","已办结
"
遵化市生态环境局,"
投诉
",,"
2020-04-20
","
2020-04-28
","已办结
"
沧县人社局,"
求助
",河北沧州市后侯同兴玻璃公司拖欠工资 讨要3年,"
2020-04-26
","
2020-04-27
","已办结
"
沧县人社局,"
投诉
",河北沧州市沧县前营村环卫工拖欠5个月工资 一直未发放,"
2020-04-26
","
2020-04-27
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟紫金台两年不动工 退款强扣违约金,"
2020-04-08
","
2020-04-27
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟京雄世贸港退房团购服务费不予退还,"
2020-04-08
","
2020-04-27
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟乾城华府售楼部向无购房资质人销售房屋,"
2020-04-08
","
2020-04-27
","已办结
"
沧县人社局,"
投诉
",河北沧州市沧县医院不给上养老保险,"
2020-04-02
","
2020-04-27
","已办结
"
磁县自然资源和规划局,"
投诉
",河北邯郸市磁县京都国际小区多年不能办理房产证,"
2020-04-27
","
2020-04-27
","已办结
"
衡水市公安局,"
投诉
",河北衡水天昊汽车贸易公司以租赁车辆为由 骗取押金,"
2020-04-27
","
2020-04-27
","已办结
"
献县农业农村局,"
投诉
",沧州献县段村乡农村土地确权证迟迟扣押不发放,"
2020-04-27
","
2020-04-27
","已办结
"
献县农业农村局,"
投诉
",沧州献县乐寿镇侯庄村什么时候能完成确权,"
2020-04-27
","
2020-04-27
","已办结
"
献县农业农村局,"
投诉
",河北沧州献县东镇村村民土地被他人确权 如何改回？,"
2020-04-27
","
2020-04-27
","已办结
"
鹿泉区公安局,"
投诉
",河北石家庄鹿泉美特花语城无证售房 无规划认可,"
2020-04-27
","
2020-04-27
","已办结
"
武邑县住建局,"
投诉
",河北省衡水市武邑县九州悦城小区迟迟不签合同 不交房,"
2020-04-07
","
2020-04-27
","已办结
"
高碑店市教育和体育局,"
投诉
",河北保定高碑店东盛实验学校私定教辅资料 做不过来,"
2020-04-16
","
2020-04-27
","已办结
"
河北高速公路集团有限公司,"
投诉
",河北沧州车主ETC乱扣费 多次致电客服不处理,"
2020-04-03
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
投诉
",邯郸市涉县井店镇违规建鸡场 村民不同意,"
2020-04-26
","
2020-04-27
","已办结
"
燕郊高新区城市管理综合行…,"
投诉
",河北廊坊三河市燕郊嘉诚国际小区号违建 占道经营,"
2020-03-30
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊燕郊燕顺路悦榕湾小木屋扰民严重 疑似违建,"
2020-04-08
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊燕郊冯家府附近非法占地 私搭乱建,"
2020-04-15
","
2020-04-27
","已办结
"
任丘市场监督管理局,"
投诉
",河北沧州任丘市悦城迟迟不返款,"
2020-04-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊大厂县赵沟子双赵路东口摆摊占道 右拐不便,"
2020-03-30
","
2020-04-27
","已办结
"
平山镇政府,"
投诉
",河北省石家庄平山县高村回迁房迟迟不给,"
2020-04-22
","
2020-04-27
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄博雅盛世公租房无充电设施 电动车无法充电,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",河北保定市涿州华阳路一违建 长期未拆除,"
2020-04-22
","
2020-04-27
","已办结
"
部门,"
投诉
",河北石家庄外地车如何办理临时通行证,"
2020-04-26
","
2020-04-27
","已办结
"
燕郊高新区城市管理综合行…,"
投诉
",河北廊坊燕郊燕顺路青年新城小区院内建设大量简易房,"
2020-03-26
","
2020-04-27
","已办结
"
枣强生态环境局,"
投诉
",河北衡水枣强县玻璃钢厂紧挨住宅区 味道特别大,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",北京市朝阳区前往河北省承德市应隔离多少天？,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",河北石家庄水木青城小区老旧健身设施被拆除 何时换新？,"
2020-04-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北石家庄长安区西兆通社区环境脏乱差 与文明城市形象不符,"
2020-04-16
","
2020-04-27
","已办结
"
石家庄市交通运输局,"
投诉
",河北石家庄嗖嗖开呗100元押金难退 已半年多,"
2020-04-26
","
2020-04-27
","已办结
"
衡水市滨湖新区人社局,"
投诉
",衡水滨湖新区南苑大酒店拖欠工资,"
2018-02-05
","
2020-04-27
","已办结
"
衡水市滨湖新区人社局,"
投诉
",衡水滨湖新区马家庄村一工厂工作中绞断右臂 认定非法用工如此难,"
2019-09-23
","
2020-04-27
","已办结
"
衡水市滨湖新区人社局,"
投诉
",,"
2019-09-23
","
2020-04-27
","已办结
"
邢台市住房公积金管理中心,"
投诉
",河北冀中能源住房公积金不能贷款买房 房地产商拒绝办理,"
2020-04-15
","
2020-04-27
","已办结
"
邢台市城管执法局,"
投诉
",河北邢台市佳洲美地集中供热变自供热 望监管,"
2020-04-26
","
2020-04-27
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州运河区悦民家园附近私家车乱停放 反映无人管,"
2020-04-16
","
2020-04-27
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州宏宇亚龙湾周边乱停车 影响交通,"
2020-04-16
","
2020-04-27
","已办结
"
衡水市城市管理局,"
投诉
",河北衡水市区京大路和人民路道路施工何时开始？,"
2020-04-14
","
2020-04-27
","已办结
"
鹿泉区公安局,"
投诉
",石家庄鹿泉铜冶事故车停车场收取拖车费,"
2019-11-08
","
2020-04-27
","已办结
"
高碑店发展改革局,"
咨询
",2020年河北保定高碑店市农村煤改气收费吗,"
2020-04-21
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山开平车管所效率极慢 一个星期无快递数据,"
2020-04-16
","
2020-04-27
","已办结
"
邯郸市住房公积金管理中心,"
投诉
",河北邯郸峰峰集团公积金贷款买房依然无法使用,"
2020-04-26
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山开平车管所效率低提档慢 一周没寄出,"
2020-04-21
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊固安县南石匣村破烂不堪 街道木柴堆积无人管理,"
2020-04-03
","
2020-04-27
","已办结
"
灵寿县住建局,"
投诉
",河北石家庄市灵寿县四季花城迟迟不交房,"
2020-04-26
","
2020-04-27
","已办结
"
石家庄市公安局人口管理支…,"
投诉
",河北石家庄市父母双方都是集体户口 新生儿落户收费两千元,"
2020-04-27
","
2020-04-27
","已办结
"
沧州市新华区教育体育局,"
咨询
",河北沧州一民办幼儿园督导评估被遗漏 如何补上整改？,"
2020-04-16
","
2020-04-27
","已办结
"
沧州市新华区教育体育局,"
投诉
",河北沧州沧兴一品幼儿园预收半年园费 不合理,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",河北廊坊固安津狮花园小区私搭乱建 推放杂物,"
2020-03-26
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山市车管一分所不给办理车辆夫妻更名 只能过户合规吗？,"
2020-04-21
","
2020-04-27
","已办结
"
廊坊市公安局交警支队,"
咨询
",河北廊坊车管所何时开通提档外转京业务？,"
2020-04-27
","
2020-04-27
","已办结
"
丰南区公安局,"
投诉
",河北唐山丰南春晖路一饭店深夜放音乐 扰民,"
2020-04-26
","
2020-04-27
","已办结
"
高碑店市教育和体育局,"
投诉
",保定高碑店作为法定监护人的家长怎样查询孩子学籍？,"
2019-11-08
","
2020-04-27
","已办结
"
高碑店市教育和体育局,"
投诉
",河北保定市高碑店市崇德实验中学强制学生打卡,"
2020-02-24
","
2020-04-27
","已办结
"
石家庄市税务局,"
咨询
",河北石家庄裕华区二手房如何开具购房发票？,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北张家口市桥东区翡翠小镇周边垃圾场臭气熏天,"
2020-04-16
","
2020-04-27
","已办结
"
部门,"
投诉
",去内蒙古办事返廊后需要隔离吗 再去京上班可以吗？,"
2020-04-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山路北区张兴楼小区南侧板房小饭馆卫生消防太差,"
2020-04-15
","
2020-04-27
","已办结
"
遵化市住建局,"
投诉
",河北唐山遵化龙凤祥苑交房一年半房屋裂缝无人负责,"
2020-04-27
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北邢台清河县太行北路大湖世家小区质量差 无绿化,"
2020-03-30
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北邢台清河县大湖仕家购房十年至今成烂尾楼,"
2020-03-31
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北邢台清河县大湖仕家烂尾楼5年多得不到解决,"
2020-03-31
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北邢台清河大湖仕家交房设施不完善,"
2020-04-01
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
投诉
",河北省邢台清河县大湖仕家小区烂尾三年不开工,"
2020-04-01
","
2020-04-27
","已办结
"
部门,"
投诉
",出差合肥回石家庄桥西区还需要办理什么手续？,"
2020-04-24
","
2020-04-27
","已办结
"
廊坊市城市管理综合行政执…,"
投诉
",河北廊坊市大家新城小区违建 望相关部门拆除,"
2020-04-01
","
2020-04-27
","已办结
"
清河县住房和城乡建设局,"
建议
",河北邢台清河滨江小区门禁不开启 人员混杂,"
2020-04-27
","
2020-04-27
","已办结
"
故城县卫生健康局,"
投诉
",,"
2020-04-16
","
2020-04-27
","已办结
"
香河县交通运输局,"
投诉
",河北廊坊香河至北京快938公交车何时恢复运营？,"
2020-04-20
","
2020-04-27
","已办结
"
香河县交通运输局,"
投诉
",河北廊坊香河安平镇到北京的公交车什么时间恢复运行？,"
2020-04-20
","
2020-04-27
","已办结
"
香河县交通运输局,"
建议
",河北廊坊香河居民恳请938快车尽早恢复 解决出行难题,"
2020-04-23
","
2020-04-27
","已办结
"
香河县交通运输局,"
投诉
",河北廊坊香河938快公交车什么时候通车,"
2020-04-26
","
2020-04-27
","已办结
"
乐亭县住建局,"
投诉
",河北唐山乐亭县盛世景湾小交房5年 未办产权证,"
2020-04-26
","
2020-04-27
","已办结
"
沧州市城市管理综合行政执…,"
投诉
",河北沧州颐和文园东门小摊贩占道经营,"
2020-04-21
","
2020-04-27
","已办结
"
新河县住房和城乡建设局,"
投诉
",河北邢台新河县拉菲公馆开发商逾期交房拒付违约金,"
2020-04-26
","
2020-04-27
","已办结
"
唐山市丰润区住建局,"
投诉
",河北唐山丰润宏升君天下拖延不签合同,"
2020-04-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北唐山市迁西县群众用电难 电网升级停滞3年,"
2020-04-26
","
2020-04-27
","已办结
"
吴桥县公安局,"
咨询
",河北沧州吴桥车管所不给第二次预约驾驶证学习业务 咋办？,"
2020-04-20
","
2020-04-27
","已办结
"
泊头市交通运输局,"
投诉
",河北沧州泊头市狮城驾校学员注销档案 不退费用,"
2020-03-31
","
2020-04-27
","已办结
"
临漳县自然资源和规划局,"
投诉
",河北邯郸临漳城市之星D区什么时候才能办理房产证,"
2020-04-26
","
2020-04-27
","已办结
"
长安区市场监督管理局,"
投诉
",河北石家庄长安区护尔商贸公司销售口罩不合标准 申请退款,"
2020-04-16
","
2020-04-27
","已办结
"
武邑县住建局,"
投诉
",河北衡水武邑清水湾交房不让装修 望监管,"
2020-04-20
","
2020-04-27
","已办结
"
武邑县住建局,"
投诉
",河北衡水武邑清水湾二期已交钥匙不让装修 是住建局规定的吗？,"
2020-04-26
","
2020-04-27
","已办结
"
枣强县自然资源和规划局,"
投诉
",河北衡水枣强县康馨国际契税已交两年 房本不办理,"
2020-04-08
","
2020-04-27
","已办结
"
部门,"
投诉
",河北衡水市南外环赶海饭店圈占公共用地 私自设置路障和起降杆,"
2020-04-21
","
2020-04-27
","已办结
"
邢台市桥西区住建局,"
投诉
",河北邢台盛世中央公馆c1购房8年交房无期,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",上海返回河北石家庄元氏县探亲需要隔离吗,"
2020-04-22
","
2020-04-27
","已办结
"
部门,"
投诉
",河北衡水市桃城区中心北大街路面坑坑洼洼,"
2020-04-22
","
2020-04-27
","已办结
"
临漳县自然资源和规划局,"
投诉
",河北邯郸临漳县邺都华府买房4年至今未办理房产证,"
2020-04-15
","
2020-04-27
","已办结
"
部门,"
投诉
",河北保定涿州市花田路被集市占道 造成安全隐患,"
2020-04-22
","
2020-04-27
","已办结
"
平泉市自然资源和规划局,"
投诉
",河北承德平泉市公园里小区入住2年多 迟迟不给办房产证,"
2020-04-24
","
2020-04-27
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸美食林新城购物广场排风系统噪音大 影响民生,"
2019-07-18
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",定州富源燃气缴费只提供公众号缴费 收1元手续费,"
2019-12-03
","
2020-04-27
","已办结
"
邯郸市医疗保障局,"
咨询
",河北邯郸脑梗死慢性病已不能申请吗？,"
2020-04-17
","
2020-04-27
","已办结
"
衡水市公安局,"
投诉
",河北衡水市个人犯罪证明能否可以网上申办？,"
2020-04-27
","
2020-04-27
","已办结
"
遵化市卫生健康局,"
投诉
",河北唐山遵化新店子医院医务人员4个月工资至今未发放,"
2020-04-26
","
2020-04-27
","已办结
"
张家口市交通运输局,"
投诉
",河北张家口允许顺风车运行吗？合法吗?,"
2020-04-21
","
2020-04-27
","已办结
"
衡水市城市管理局,"
投诉
",河北衡水锦绣东城天然气迟迟未通,"
2020-04-27
","
2020-04-27
","已办结
"
涿州市住建局,"
投诉
",河北保定涿州乐亨小区卫生间没水 多年未解决,"
2020-04-14
","
2020-04-27
","已办结
"
部门,"
投诉
",河北张家口市桥东行政审批局附近早餐摊占道经营 收摊太晚无人管,"
2020-04-21
","
2020-04-27
","已办结
"
任丘市公安局,"
投诉
",河北沧州任丘市泰华城府门前无斑马线,"
2020-04-26
","
2020-04-27
","已办结
"
沧县住房和城乡建设局,"
投诉
",河北沧州荣盛四季花语楼盘捆绑销售车位,"
2020-04-15
","
2020-04-27
","已办结
"
石家庄市桥西区教育局,"
咨询
",河北石家庄中学生廊坊就读 学籍如何转？,"
2020-04-27
","
2020-04-27
","已办结
"
部门,"
投诉
",河北沧州移动用户号码携转被要求赔付4万多 合理不,"
2020-04-24
","
2020-04-27
","已办结
"
部门,"
投诉
",河北石家庄长安区翟营大街丰泰路泵车堵路,"
2020-04-24
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州鑫海科技被强制要求缴纳燃气保险,"
2020-03-25
","
2020-04-27
","已办结
"
承德县教育局,"
投诉
",河北承德市承德县头沟初中仅放假一天 有点儿累,"
2020-04-15
","
2020-04-27
","已办结
"
承德县教育局,"
投诉
",河北承德市承德县第一中学网课时间过长,"
2020-04-22
","
2020-04-27
","已办结
"
承德县教育局,"
投诉
",河北承德承实高中强制要求学生5点多起床 视频会议站立背书,"
2020-04-24
","
2020-04-27
","已办结
"
承德县教育局,"
投诉
",河北承德承实高中5：40上早自习 高强度网课视力下降快,"
2020-04-24
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州市丰源帝景小区物业水费擅自涨价 盼监管,"
2020-04-23
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州美庭装饰公司不按合同办事 退款无果,"
2020-04-16
","
2020-04-27
","已办结
"
石家庄市鹿泉区人社局,"
投诉
",河北石家庄鹿泉区村民社保卡已制卡成功却未收到 到底在哪儿？,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸馆陶柳湖胜景何时能办不动产证,"
2020-04-26
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
投诉
",邯郸市涉县御湖天城不给业主开购房发票,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸市馆陶县柳湖圣景小区入住6年至今没办房产证,"
2020-04-26
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
投诉
",邯郸涉县君子居交房两年不办产权登记证,"
2020-04-26
","
2020-04-27
","已办结
"
涉县自然资源和规划局,"
求助
",邯郸涉县井店华润阳光城小区开发商不给业主办理房产证,"
2020-04-26
","
2020-04-27
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州市富源天然气有限公司强行高价安装燃气报警器,"
2020-01-14
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸馆陶柳湖胜景入住3年多不办理房产证 何时办理？,"
2020-04-26
","
2020-04-27
","已办结
"
馆陶县自然资源和规划局,"
投诉
",邯郸市馆陶县柳湖胜景房产证10年未办,"
2020-04-26
","
2020-04-27
","已办结
"
