受理单位,分类,主题,受理时间,办结时间,办理状态
邯郸市自然资源和规划局,"
投诉
",河北邯郸赵都华府房产证下不来,"
2020-01-09
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",河北邯郸市心海假日交房七年不办房产证,"
2020-02-06
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",河北邯郸市实达房地产一直不给办理不动产证,"
2020-03-06
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",河北邯郸市北海庄园26号楼十几年没办产权证 盼解决,"
2020-04-15
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸远实凤凰城小区国强面馆油烟污染扰民,"
2019-04-03
","
2020-04-24
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",河北邯郸丛台区锦尚龙城小区长期停工,"
2020-04-23
","
2020-04-24
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",河北邯郸武安市高坡新村小区管理混乱,"
2020-04-23
","
2020-04-24
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",河北邯郸华浩广兴源旗下物业公司乱收费,"
2020-04-23
","
2020-04-24
","已办结
"
邯郸市住房保障和房产管理…,"
投诉
",河北邯郸冀南新区翡翠郡小区8号楼一层破坏绿地,"
2020-04-22
","
2020-04-24
","已办结
"
沧州市城市管理综合行政执…,"
投诉
",河北沧州亚龙湾小区规划路与重庆路交口有深坑,"
2020-04-21
","
2020-04-24
","已办结
"
部门,"
投诉
",河北廊坊大厂祁各庄紫藤园无停车位 如何安装充电桩,"
2020-03-30
","
2020-04-24
","已办结
"
大城县建设局,"
投诉
",河北廊坊市大城县煤改气补贴何时发？,"
2020-03-12
","
2020-04-24
","已办结
"
河北移动沧州分公司,"
投诉
",河北沧州移动用户携号转网要求赔付,"
2020-04-17
","
2020-04-24
","已办结
"
部门,"
投诉
",河北石家庄桥西区时光街与建国路交口东南角绿地建议升级,"
2020-04-22
","
2020-04-24
","已办结
"
献县生态环境局,"
投诉
",河北省沧州市献县三无企业粉尘污染,"
2020-04-21
","
2020-04-24
","已办结
"
灵寿县住建局,"
投诉
",河北石家庄灵寿县凯尊首府不交房,"
2020-04-22
","
2020-04-24
","已办结
"
石家庄鹿泉区交通运输局,"
投诉
",河北石家庄鹿泉宏润驾校不退费 望解决,"
2020-04-16
","
2020-04-24
","已办结
"
鹿泉区寺家庄镇人民政府,"
求助
",河北石家庄鹿泉区城市傲居小区开发商跑路 退款难,"
2020-04-17
","
2020-04-24
","已办结
"
广阳区生态环境局,"
投诉
",河北廊坊广阳区四季公馆工地半夜施工 噪音扰民,"
2020-03-30
","
2020-04-24
","已办结
"
邯郸市城市管理和综合行政…,"
投诉
",河北邯郸泊车停车半小时短信通知停了100小时 乱收费,"
2020-04-20
","
2020-04-24
","已办结
"
沧州新华区人社局,"
投诉
",河北沧州华成汽车贸易有限公司不签订劳动合同不缴纳社保,"
2020-04-24
","
2020-04-24
","已办结
"
永清县建设局,"
投诉
",河北廊坊永清幸福家园购房七年 至今仍不交房,"
2020-04-15
","
2020-04-24
","已办结
"
永清县建设局,"
投诉
",河北廊坊幸福家园七期什么时候可以办房本,"
2020-04-15
","
2020-04-24
","已办结
"
永清县建设局,"
投诉
",河北廊坊市永清县瑞祥家园收了意向金  不退,"
2020-04-16
","
2020-04-24
","已办结
"
永清县建设局,"
投诉
",河北廊坊永清清城湾无证销售不退款,"
2020-04-15
","
2020-04-24
","已办结
"
永清县建设局,"
投诉
",河北廊坊永清布鲁克林房子延期交房 退房无果,"
2020-04-16
","
2020-04-24
","已办结
"
部门,"
投诉
",河北省唐山市丰南区朝阳大街友发钢管路段大车停路中间,"
2020-04-23
","
2020-04-24
","已办结
"
河间市教育局,"
投诉
",河北沧州河间老师公积金缴存一直未到账户 咋回事？,"
2020-04-22
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸市馆陶县李井寨村煤场污染 无人处理,"
2019-08-08
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸永年区施庄村烧烤大排档无餐饮许可证 无消防设施,"
2019-07-29
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸市职教中心半夜不关大门口电子屏常亮光污染,"
2019-09-12
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸丛台区机械清扫大队露天倾泄清扫物噪音扰民,"
2019-09-06
","
2020-04-24
","已办结
"
丛台区生态环境局,"
投诉
",邯郸市联纺东路梨乡情饭店夜间噪音扰民,"
2019-12-19
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸汉光实验小学（北湖校区）早上大喇叭广播 噪音扰民,"
2019-09-29
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸市邯山区华莱士新园店门市拉杆音响扰民,"
2019-10-16
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸市赵都新城盛和路噪音扰民,"
2019-10-25
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸市安居东城小区北侧工地晚上严重扰民,"
2019-05-22
","
2020-04-24
","已办结
"
灵寿县住建局,"
投诉
",河北石家庄灵寿县四季花城项目迟迟不动工 望监管,"
2020-04-21
","
2020-04-24
","已办结
"
灵寿县住建局,"
投诉
",河北石家庄市灵寿县凯尊首府购房2年不动工 不能盖就退款,"
2020-04-23
","
2020-04-24
","已办结
"
丛台区生态环境局,"
投诉
",邯郸丛台区拉德芳斯北区乐味火锅店夜间经营扰民,"
2019-06-28
","
2020-04-24
","已办结
"
复兴区生态环境局,"
投诉
",邯郸市复兴区箭岭小区南市场早夜市噪音扰民,"
2019-11-11
","
2020-04-24
","已办结
"
高碑店市住房和城乡建设局,"
投诉
",河北保定高碑店昊龙阖府小区退房迟迟不退款,"
2020-03-31
","
2020-04-24
","已办结
"
沽源县住房和城乡规划建设…,"
投诉
",河北张家口沽源县洪源小区物业乱收费,"
2020-04-23
","
2020-04-24
","已办结
"
永年区生态环境局,"
投诉
",邯郸市永年区城区建安街海龙湾小区广场舞声音大,"
2019-04-30
","
2020-04-24
","已办结
"
邯郸市生态环境局,"
投诉
",邯郸复兴区箭岭西区广场舞扰民,"
2019-06-17
","
2020-04-24
","已办结
"
涉县生态环境局,"
投诉
",河北邯郸涉县西林科技公司放炮崩山 附近村民房屋出现裂痕,"
2020-04-01
","
2020-04-24
","已办结
"
部门,"
投诉
",河北保定涿州市小区门口路灯杆挡路造成交通事故,"
2020-04-22
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸市复兴区御景苑号多年房产证未办,"
2019-12-31
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸丛台区汉城华都交房2年不给办理房产证,"
2019-12-25
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",河北邯郸丛台区广星源室入住6年没有房产证 何时办？,"
2020-01-19
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",河北邯郸市金碧苑北区迟迟不办不动产证,"
2020-03-03
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸市陶然新城小区交房3年没有房产证,"
2019-06-18
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸市复兴区御景苑小区6号楼 购房7年无法办理房产,"
2019-12-30
","
2020-04-24
","已办结
"
石家庄市长安区教育局,"
咨询
",河北石家庄长安区天洲视界城配套配建初中是哪所？,"
2020-04-22
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸丛台区华浩广星源小区交房5年不给发票,"
2019-12-19
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸复兴区金泽苑小区十年之久不办证,"
2019-12-24
","
2020-04-24
","已办结
"
石家庄市长安区教育局,"
投诉
",河北石家庄长安区御江景城小区没有配套小学 卡到哪一步了？,"
2020-04-23
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸市丛台区广星源小区不给业主办房产证,"
2019-12-27
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸市丛台区广星源小区不给业主办理房产证,"
2019-12-27
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",河北邯郸市华浩广兴源小区6年不能办理房产证,"
2020-04-22
","
2020-04-24
","已办结
"
石家庄市长安区教育局,"
投诉
",河北石家庄市御江景城小区孩子无学可上,"
2020-04-22
","
2020-04-24
","已办结
"
三河市教育和体育局,"
投诉
",河北廊坊三河市燕郊富地悦宝园不退费 望监管,"
2020-04-22
","
2020-04-24
","已办结
"
中捷产业园区建设局,"
投诉
",河北沧州中捷坤元九号院交房已延期10个月 项目几乎停滞,"
2020-04-21
","
2020-04-24
","已办结
"
定州市市场监督管理局,"
投诉
",河北定州京东快递丢失货物 拒不理赔,"
2020-04-13
","
2020-04-24
","已办结
"
河间市教育局,"
投诉
",河北沧州河间合同制教师被拖欠工资长达7个月 求助,"
2020-04-22
","
2020-04-24
","已办结
"
河间市教育局,"
投诉
",河北沧州河间市合同老师迟迟不能入编,"
2020-04-22
","
2020-04-24
","已办结
"
石家庄市桥西区卫生健康局,"
咨询
",河北石家庄居民从武汉返回 检测合格后能否居家隔离？,"
2020-04-23
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",河北沧州恒大城不让装新能源汽车充电桩 安装先交1500元,"
2020-04-16
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",河北沧州恒大城回迁区入住5年不办证 小区破烂物业不作为,"
2020-04-23
","
2020-04-24
","已办结
"
献县公安局,"
投诉
",河北沧州献县未成年人是否可以当户主？,"
2020-04-14
","
2020-04-24
","已办结
"
部门,"
投诉
",邯郸市丛台区曙光路水景南岸门卫私搭乱建 影响进出,"
2019-08-21
","
2020-04-24
","已办结
"
部门,"
投诉
",河北石家庄新华区上城浩林园北门违章停车严重,"
2020-04-23
","
2020-04-24
","已办结
"
部门,"
投诉
",,"
2020-01-15
","
2020-04-24
","已办结
"
部门,"
投诉
",河北邯郸涉县河南店309国道直行路旁无禁止标识,"
2020-04-15
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",邯郸恒大绿洲违规销售查封房 拒不退房也不处理,"
2020-03-05
","
2020-04-24
","已办结
"
广阳区生态环境局,"
投诉
",廊坊市广阳区四季家园夜间施工扰民,"
2019-12-31
","
2020-04-24
","已办结
"
部门,"
投诉
",五一期间出省后返回河北石家庄后是否需要隔离？,"
2020-04-24
","
2020-04-24
","已办结
"
东光县住房和城乡建设局,"
投诉
",沧州东光东升骏景三年不供天然气,"
2019-05-15
","
2020-04-24
","已办结
"
广阳区生态环境局,"
投诉
",河北廊坊金光道修路 噪音影响休息,"
2020-03-27
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",邯郸市恒大绿洲楼购买房却被查封,"
2020-03-05
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",河北邯郸恒大御景半岛员工欺骗消费者,"
2020-03-25
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",河北邯郸恒大御景半岛售楼员骗客户 承诺返点不兑现,"
2020-03-26
","
2020-04-24
","已办结
"
部门,"
投诉
",河北廊坊三河市行宫东大街街道金谷社区辱骂殴打办事人员,"
2020-03-19
","
2020-04-24
","已办结
"
平山县交通运输局,"
投诉
",河北石家庄市平山县新平山驾校关闭 千名学员考驾照无望,"
2020-04-22
","
2020-04-24
","已办结
"
定州市公安局,"
咨询
",河北定州居民诉讼离异无法提供户口本 如何迁出户口？,"
2020-04-23
","
2020-04-24
","已办结
"
沧州市运河区教育局,"
投诉
",河北沧州市运河区四幼招生条件是什么？8月办好居住证可以吗？,"
2020-04-21
","
2020-04-24
","已办结
"
沧州市运河区教育局,"
投诉
",河北沧州运河区水月寺幼儿园咨招生条件是什么？,"
2020-04-17
","
2020-04-24
","已办结
"
孟村公安局,"
投诉
",河北沧州孟村交警队向事故当事人收取司法鉴定费用,"
2020-02-17
","
2020-04-24
","已办结
"
邢台市城管执法局,"
投诉
",河北邢台市青青小镇小区天然气什么时候可以使用？,"
2020-04-22
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",邯郸市隆基泰和未来城私自改规划,"
2020-03-05
","
2020-04-24
","已办结
"
邯郸市自然资源和规划局,"
投诉
",,"
2020-03-05
","
2020-04-24
","已办结
"
部门,"
投诉
",河北石家庄长安区中基礼域小区消防设施检查不到位,"
2020-04-07
","
2020-04-24
","已办结
"
部门,"
投诉
",河北石家庄长安区桃园镇水岸丽景小区高层私拉电线,"
2020-04-03
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄明瀚花香城五证不全 望协调退款,"
2020-04-23
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北省石家庄市长安区桃园丽Z城退房如登天,"
2020-04-23
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄京州科技城项目至今未动工,"
2020-04-23
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",河北石家庄裕华区恒大雅苑出行难 比山路还难走,"
2020-04-13
","
2020-04-24
","已办结
"
恒大集团石家庄公司,"
投诉
",,"
2019-05-08
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄长安区御江景城小区宽带垄断 三大运营商进不来,"
2020-04-24
","
2020-04-24
","已办结
"
部门,"
投诉
",河北省保定市定兴县北河镇户籍无法迁入,"
2020-04-02
","
2020-04-24
","已办结
"
丰宁满族自治县教育局,"
投诉
",河北省承德市丰宁朝阳民族学校网课还是80分钟 忽悠人,"
2020-03-27
","
2020-04-24
","已办结
"
涿州市公安局,"
投诉
",河北保定涿州户主迁走户口后 孩子的户口怎么办？,"
2020-04-22
","
2020-04-24
","已办结
"
邯郸华润燃气有限公司,"
投诉
",河北邯郸华润燃气公司乱罚款 燃气从没开阀要罚1.4万元,"
2020-04-23
","
2020-04-24
","已办结
"
围场满族蒙古族自治县住建…,"
投诉
",河北承德围场河东新村二区何时能给网签？,"
2020-04-13
","
2020-04-24
","已办结
"
围场满族蒙古族自治县住建…,"
投诉
",河北承德市围场县河东新村二期不交房,"
2020-04-16
","
2020-04-24
","已办结
"
围场满族蒙古族自治县住建…,"
投诉
",河北承德围场县河东新村无法网签 望解决,"
2020-04-16
","
2020-04-24
","已办结
"
围场满族蒙古族自治县住建…,"
投诉
",河北省承德市围场河东新村迟迟不交房,"
2020-04-21
","
2020-04-24
","已办结
"
定州市公安局,"
咨询
",河北定州增驾D本何时可以考试？,"
2020-04-23
","
2020-04-24
","已办结
"
肃宁县住房和城乡建设局,"
投诉
",河北沧州市肃宁尚村裘皮城购买商铺不办产权证 违约退款难,"
2020-04-10
","
2020-04-24
","已办结
"
衡水市发展和改革委员会,"
投诉
",河北衡水市区南苑小区物业收水费5.61吨,"
2020-04-22
","
2020-04-24
","已办结
"
临城县生态环境局,"
投诉
",,"
2020-04-09
","
2020-04-24
","已办结
"
临西县生态环境局,"
投诉
",,"
2020-04-15
","
2020-04-24
","已办结
"
部门,"
投诉
",河北石家庄市御江景城小区玖华宽带垄断 三大运营商进不来,"
2020-04-24
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山安联优悦城入住4年不办理房本 户口迁入手续没落实,"
2020-01-13
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区新天地美域不动产证至今未办理 小区还在使用临时电,"
2019-12-27
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
求助
",唐山路北区新华园小区入住近10年没房本,"
2019-12-30
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山路北新华园户主入住10年无房本,"
2019-12-30
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区新华一号小区入住十年无法办理房本,"
2019-12-30
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区新华一号十年拿不到房本,"
2019-12-30
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山市路北区新华园小区入住十年未办房产证,"
2019-12-30
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山安联优悦城交房一年多不办房本 无法落户,"
2020-01-03
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",唐山新华园小区买房十年不办房产证 何时办？,"
2020-01-03
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山市路北区安联优悦城房本何时能下？,"
2020-01-09
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山路北区安联优悦城无房本,"
2020-01-13
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山市路北区韩城新城东小区孩子无法上学 啥时才能办两证？,"
2020-01-14
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山茂华小区二期122楼迟迟未办理房产证,"
2020-01-16
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山市勒泰城迟迟不能办理房产证,"
2020-04-13
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山新天地美域15何时能办房本？,"
2020-04-13
","
2020-04-24
","已办结
"
唐山市自然资源和规划局,"
投诉
",河北唐山韩城鼎旺瑞景d区不动产本何时能下,"
2020-04-14
","
2020-04-24
","已办结
"
唐山市自然资源和规划局开…,"
投诉
",河北唐山市开平区东城绿庭小区不办房本,"
2020-04-22
","
2020-04-24
","已办结
"
运河区市场监督管理局,"
投诉
",河北沧州市佰通汽贸担保公司不退还押金 打电话不接,"
2020-04-22
","
2020-04-24
","已办结
"
肃宁县人社局,"
投诉
",河北沧州肃宁育英学校近2月不发工资,"
2020-03-06
","
2020-04-24
","已办结
"
肃宁县人社局,"
投诉
",河北沧州肃宁朔黄铁路有限公司假期没了,"
2020-03-18
","
2020-04-24
","已办结
"
肃宁县人社局,"
感谢信
",河北沧州肃宁县梁村镇东风养殖新车间建设 拖欠工资,"
2020-03-31
","
2020-04-24
","已办结
"
沧县人社局,"
投诉
",沧州市运河区京贵中心安全事故无人负责,"
2020-04-21
","
2020-04-24
","已办结
"
部门,"
投诉
",沧州市新华区佳兴物流园公厕门损坏,"
2020-01-13
","
2020-04-24
","已办结
"
部门,"
投诉
",河北沧州市新华区御宇国际雅瑞苑门口乱停车 占道经营,"
2020-04-14
","
2020-04-24
","已办结
"
部门,"
投诉
",沧州市新华区华润燃气过户程序复杂,"
2020-04-20
","
2020-04-24
","已办结
"
张家口住房公积金管理中心,"
投诉
",河北张家口买房商业贷款能转公积金贷款吗？,"
2020-04-23
","
2020-04-24
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟御景园购房网签 不退款,"
2020-04-13
","
2020-04-24
","已办结
"
白沟新城规划建设局,"
投诉
",河北保定白沟君圣地产不给网签 申请退款无果,"
2020-04-20
","
2020-04-24
","已办结
"
霸州市人力资源和社会保障…,"
投诉
",河北廊坊霸州中博钢化玻璃制品公司离职后 拖欠工资就不给,"
2020-04-15
","
2020-04-24
","已办结
"
迁安市住建局,"
投诉
",河北省唐山迁安丰惠小区金三角公寓一直不给办房产证,"
2020-03-30
","
2020-04-24
","已办结
"
迁安市住建局,"
投诉
",河北唐山迁安紫霞胜境小区首付交了6年迟迟不交房,"
2020-04-20
","
2020-04-24
","已办结
"
迁安市住建局,"
投诉
",河北唐山迁安市中介收取八万元电商费不开发票 合理吗？,"
2020-01-15
","
2020-04-24
","已办结
"
迁安市住建局,"
投诉
",河北唐山迁安永顺嘉园十多年不给办房产证,"
2020-04-14
","
2020-04-24
","已办结
"
部门,"
投诉
",河北唐山路北区龙泽国际小区3号楼2单元北侧垃圾成堆,"
2020-04-21
","
2020-04-24
","已办结
"
安平县公安局,"
投诉
",河北衡水安平受害人呼吁尽快抓捕奔宝贷投资公司罪犯 归还血汗钱,"
2020-04-22
","
2020-04-24
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",河北廊坊市广阳区董村小区地下车库通风不畅 盼消毒,"
2020-02-14
","
2020-04-24
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",廊坊广阳流动人口想办二胎婚育证明 准生证 街道办说是办不了,"
2019-12-19
","
2020-04-24
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",河北廊坊市广阳区麻腮风疫苗长期缺货,"
2020-03-18
","
2020-04-24
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",河北廊坊市广阳区疾病预防控制中心不办理其他站点新生儿接种本,"
2020-04-15
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄桃园丽Z城多长推迟交房,"
2020-04-23
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄新源蜂巢违约停止返租,"
2020-04-22
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄银佛家园何时可以交房,"
2020-04-22
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄长安区谈固小区九区物业强制要求业主缴费,"
2020-04-21
","
2020-04-24
","已办结
"
石家庄市城市管理综合行政…,"
投诉
",河北石家庄大眼烧烤露天烧烤占道经营 影响市容,"
2020-04-23
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄广银房地产公司拖延退房款和电商费,"
2020-04-20
","
2020-04-24
","已办结
"
石家庄市长安区住建局,"
投诉
",河北石家庄长安区西湖一品项目迟迟不交房,"
2020-04-22
","
2020-04-24
","已办结
"
滦州市医疗保障局,"
咨询
",河北唐山滦州居民异地就医备案 可以撤销吗？,"
2020-04-07
","
2020-04-24
","已办结
"
沧州高新区规划建设局,"
投诉
",沧州高新区弘仁里物业费未逾期电梯无法使用,"
2019-12-23
","
2020-04-23
","已办结
"
沧州高新区规划建设局,"
投诉
",沧州荣盛名邸五证不全 房款不退,"
2019-04-25
","
2020-04-23
","已办结
"
沧州高新区规划建设局,"
投诉
",沧州紫玉华府小区物业费与电梯捆绑 不交物业费不能使用电梯,"
2019-08-07
","
2020-04-23
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",河北廊坊市广阳区万庄镇采四小区有复工证明不让进出 要政府证明,"
2020-03-05
","
2020-04-23
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",,"
2020-02-21
","
2020-04-23
","已办结
"
沧州高新区规划建设局,"
投诉
",沧州河北工业大学科技园物业给业主断电,"
2020-01-08
","
2020-04-23
","已办结
"
廊坊市广阳区卫生健康局,"
投诉
",河北廊坊广阳区来自湖北随州人员 在防疫上是什么政策？,"
2020-04-23
","
2020-04-23
","已办结
"
部门,"
投诉
",廊坊大厂县英国宫五期紫藤园西门底商噪音油烟严重扰民,"
2020-04-21
","
2020-04-23
","已办结
"
部门,"
投诉
",河北廊坊市管道局五区大院附近工厂噪音扰民,"
2020-04-15
","
2020-04-23
","已办结
"
沧州市公安局交警支队,"
投诉
",河北沧州驾驶员培训基地办理销户 预约电话无法打通,"
2020-04-21
","
2020-04-23
","已办结
"
